Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
AJ 1 RT High x TS,aj-1-rt-high-x-ts,Sneaker exclusivo de alta qualidade,SNKHOUSE,Apparel & Accessories > Shoes > Athletic Shoes,Sneakers,"jordan-1, travis-scott, collab, high",TRUE,active,aj-1-rt-high-x-ts-35,,Tamanho,35,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,https://www.snkhouse.com/wp-content/uploads/2025/07/26882576187426_30820066492573_42379463065915_f865702b-1.jpg,1,AJ 1 RT High x TS,,FALSE,AJ 1 RT High x TS,Sneaker exclusivo de alta qualidade,Apparel & Accessories > Shoes > Athletic Shoes,Unisex,Adult,,Sneakers,"jordan-1, travis-scott, collab, high",new,FALSE,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-36,,Tamanho,36,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-37,,Tamanho,37,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-38,,Tamanho,38,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-39,,Tamanho,39,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-40,,Tamanho,40,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-41,,Tamanho,41,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-42,,Tamanho,42,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-43,,Tamanho,43,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-44,,Tamanho,44,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-1-rt-high-x-ts,,,,,,,,aj-1-rt-high-x-ts-45,,Tamanho,45,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
AJ 4 RT TS Cactus Jack,aj-4-rt-ts-cactus-jack,Sneaker exclusivo de alta qualidade,SNKHOUSE,Apparel & Accessories > Shoes > Athletic Shoes,Sneakers,"jordan-4, travis-scott, cactus-jack",TRUE,active,aj-4-rt-ts-cactus-jack-35,,Tamanho,35,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,https://www.snkhouse.com/wp-content/uploads/2025/07/26882616295458_30820066164893_42379460247867_5bf42a92-1.jpg,1,AJ 4 RT TS Cactus Jack,,FALSE,AJ 4 RT TS Cactus Jack,Sneaker exclusivo de alta qualidade,Apparel & Accessories > Shoes > Athletic Shoes,Unisex,Adult,,Sneakers,"jordan-4, travis-scott, cactus-jack",new,FALSE,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-36,,Tamanho,36,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-37,,Tamanho,37,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-38,,Tamanho,38,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-39,,Tamanho,39,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-40,,Tamanho,40,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-41,,Tamanho,41,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-42,,Tamanho,42,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-43,,Tamanho,43,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-44,,Tamanho,44,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,aj-4-rt-ts-cactus-jack,,,,,,,,aj-4-rt-ts-cactus-jack-45,,Tamanho,45,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
NK SB DK Low x TS,nk-sb-dk-low-x-ts,Sneaker exclusivo de alta qualidade,SNKHOUSE,Apparel & Accessories > Shoes > Athletic Shoes,Sneakers,"dunk-low, travis-scott, sb",TRUE,active,nk-sb-dk-low-x-ts-35,,Tamanho,35,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,https://www.snkhouse.com/wp-content/uploads/2025/07/26882988179490_30155705155758_30820199530653_42380668895547_f5d71ea5-1.jpg,1,NK SB DK Low x TS,,FALSE,NK SB DK Low x TS,Sneaker exclusivo de alta qualidade,Apparel & Accessories > Shoes > Athletic Shoes,Unisex,Adult,,Sneakers,"dunk-low, travis-scott, sb",new,FALSE,,,,,
,nk-sb-dk-low-x-ts,,,,,,,,nk-sb-dk-low-x-ts-36,,Tamanho,36,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
,nk-sb-dk-low-x-ts,,,,,,,,nk-sb-dk-low-x-ts-37,,Tamanho,37,,,,,82713.38,115798.73,41356.69,TRUE,,,,,,,100,deny,800,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,
